remote,station,boroname,neighborhood,postal,latitude,longitude
R132,125TH STREET-LEXINGTON AVE,Manhattan,East Harlem,10035,40.804406,-73.937452
R133,MOSHOLU PARKWAY-JEROME AVE,Bronx,Bronx Park and Fordham,10467,40.87963,-73.884666
R134,HUNTERS PT AVE-49TH AVE,Queens,Northwest Queens,11101,40.74238,-73.948889
R135,NEWKIRK AVE-NOSTRAND AVE,Brooklyn,Flatbush,11210,40.639961,-73.948352
R136,SHEEPSHEAD BAY ROAD,Brooklyn,Southern Brooklyn,11235,40.58681,-73.954167
R137,MYRTLE AVE-GATES AVENUE,Brooklyn,Bushwick and Williamsburg,11237,40.699707,-73.91181
R138,WEST 4TH ST-WASHINGTON SQ,Manhattan,Greenwich Village and Soho,10014,40.732251,-74.000559
R139,CANAL STREET-LISPENARD ST,Manhattan,Greenwich Village and Soho,10013,40.720852,-74.005237
R140,QUEENS PLAZA-JACKSON AVE,Queens,Northwest Queens,11101,40.748948,-73.937194
R141,71ST AVE-CONTINENTAL AVE,Queens,West Central Queens,11375,40.721681,-73.84439
R142,ESSEX ST-DELANCEY ST,Manhattan,Lower East Side,10002,40.71838,-73.987813
R144,96TH STREET-LEXINGTON AVE,Manhattan,Upper East Side,10128,40.785822,-73.95097
R145,241ST ST-WHITE PLAINS RD,Bronx,Northeast Bronx,10470,40.903085,-73.850591
R146,HUNTS PT AVE-SOUTHERN BLVD,Bronx,Hunts Point and Mott Haven,10459,40.820889,-73.890567
R147,61ST STREET-ROOSEVELT AVE,Queens,West Queens,11377,40.745623,-73.902969
R148,PARKSIDE AVE-OCEAN AVE,Brooklyn,Flatbush,11226,40.655053,-73.961227
R149,NEWKIRK PLAZA,Brooklyn,Flatbush,11226,40.635059,-73.962793
R150,AVENUE U-EAST 16TH STREET,Brooklyn,Southern Brooklyn,11229,40.599307,-73.955916
R151,STILLWELL AVE-CONEY ISLAND,Brooklyn,Southern Brooklyn,11224,40.577423,-73.981225
R152,ROCKAWAY PKWY-GLENWOOD RD,Brooklyn,Canarsie and Flatlands,11236,40.64666,-73.901832
R153,UTICA AVE-STUYVESANT AVE,Brooklyn,Central Brooklyn,11213,40.679279,-73.930585
R154,TREMONT AVE-179TH ST,Bronx,Central Bronx,10457,40.850307,-73.905244
R155,KINGSBRIDGE RD-196TH ST,Bronx,Bronx Park and Fordham,10458,40.866974,-73.893485
R156,BEDFORD PARK BLVD-203RD ST,Bronx,Bronx Park and Fordham,10458,40.873026,-73.886919
R157,205TH ST-BAINBRIDGE AVE,Bronx,Bronx Park and Fordham,10467,40.874827,-73.878872
R158,UNION TURNPIKE-KEW GARDENS,Queens,Southwest Queens,11415,40.714444,-73.830979
R159,116TH STREET-COLUMBIA,Manhattan,Central Harlem,10027,40.80819,-73.964124
R160,ASTOR PLACE-4 AVENUE,Manhattan,Lower East Side,10003,40.730056,-73.991042
R161,KINGSBRIDGE RD-JEROME AVE,Bronx,Bronx Park and Fordham,10468,40.867899,-73.897326
