"REMOTE","STATION","date","weeknumber","Total_2020","Total_2019"
"R149","NEWKIRK PLAZA                 ",2020-01-04,"01",42633,42150
"R150","AVENUE U-EAST 16TH STREET     ",2020-01-04,"01",33397,34516
"R151","STILLWELL AVE-CONEY ISLAND    ",2020-01-04,"01",45909,49136
"R152","ROCKAWAY PKWY-GLENWOOD RD     ",2020-01-04,"01",37127,40421
"R153","UTICA AVE-STUYVESANT AVE      ",2020-01-04,"01",60276,62900
"R154","TREMONT AVE-179TH ST          ",2020-01-04,"01",42113,47792
"R155","KINGSBRIDGE RD-196TH ST       ",2020-01-04,"01",33925,33099
"R156","BEDFORD PARK BLVD-203RD ST    ",2020-01-04,"01",28006,27636
"R157","205TH ST-BAINBRIDGE AVE       ",2020-01-04,"01",36282,34264
"R158","UNION TURNPIKE-KEW GARDENS    ",2020-01-04,"01",79001,76889
"R159","116TH STREET-COLUMBIA         ",2020-01-04,"01",35373,32571
"R160","ASTOR PLACE-4 AVENUE          ",2020-01-04,"01",64324,57726
"R161","KINGSBRIDGE RD-JEROME AVE     ",2020-01-04,"01",32784,34330
"R162","ELDER AVE-WESTCHESTER AVE     ",2020-01-04,"01",29294,29343
"R163","14TH STREET-6TH AVENUE        ",2020-01-04,"01",86183,83562
"R164","66TH STREET-BROADWAY          ",2020-01-04,"01",94034,93453
"R165","TOMPKINSVILLE                 ",2020-01-04,"01",1818,2669
"R166","79TH STREET-BROADWAY          ",2020-01-04,"01",67969,67785
"R167","86TH STREET-BROADWAY          ",2020-01-04,"01",75606,76925
"R168","96TH STREET-BROADWAY          ",2020-01-04,"01",147840,144657
"R169","137TH STREET-BROADWAY         ",2020-01-04,"01",51088,51608
"R170","14TH STREET-UNION SQUARE      ",2020-01-04,"01",415851,416620
"R171","7TH AVENUE-PARK PLACE         ",2020-01-04,"01",32027,31640
"R172","BRIGHTON BEACH-CONEY ISLAND   ",2020-01-04,"01",53151,49843
"R173","207TH STREET-BROADWAY         ",2020-01-04,"01",36034,33801
"R174","181ST STREET-FT WASH AVE      ",2020-01-04,"01",43426,46249
"R175","8TH AVENUE-14TH STREET        ",2020-01-04,"01",179132,177118
"R176","33RD STREET-PARK AVENUE       ",2020-01-04,"01",99821,121806
"R177","68TH STREET-HUNTER COLLEGE    ",2020-01-04,"01",60449,57685
"R178","77TH STREET-LEXINGTON AVE     ",2020-01-04,"01",96429,95460
"R179","86TH STREET-LEXINGTON AVE     ",2020-01-04,"01",174369,177111
"R180","103RD STREET-LEXINGTON AVE    ",2020-01-04,"01",50495,51251
