"REMOTE","STATION"
"R222","177TH STREET-PARKCHESTER      "
"R223","46TH ST-BLISS ST              "
"R224","CLARK STREET-HENRY STREET     "
"R225","HOYT STREET-HOYT STREET       "
"R226","GUN HILL ROAD-SEYMOUR         "
"R227","RECTOR STREET-CHURCH STREET   "
"R228","AVENUE J-EAST 16TH STREET     "
"R229","AVENUE M-EAST 16TH STREET     "
"R230","NECK ROAD-EAST 16TH STREET    "
"R231","UNION STREET-4TH AVENUE       "
"R232","45TH STREET-4TH AVENUE        "
"R233","53RD STREET-4TH AVENUE        "
"R234","50TH STREET-NEW UTRECHT AVE   "
"R235","BEDFORD AVE-NORTH 7TH ST      "
"R236","DEKALB AVE-WYCKOFF AVE        "
"R237","182ND STREET-183RD STREET     "
"R238","STEINWAY ST-BROADWAY          "
"R239","GREENPOINT AVE                "
"R240","GRAND ST-CHRISTIE ST          "
"R241","15TH ST-PROSPECT PARK WEST    "
"R242","18TH AVE-MCDONALD AVE         "
"R243","170TH STREET-JEROME AVENUE    "
"R244","BURNSIDE AVE-JEROME AVE       "
"R245","ST LAWRENCE AVE-WEST AVE      "
"R246","PROSPECT AVENUE-4TH AVENUE    "
"R247","55TH ST-NEW UTRECHT AVE       "
"R248","1ST AVENUE-14TH STREET        "
"R249","GRAHAM AVE-METROPOLITAN AVE   "
"R250","GRAND ST-BUSHWICK AVE         "
"R251","96TH ST-CENTRAL PARK WEST     "
"R252","HIGH ST-CADMAN PLAZA WEST     "
"R253","174TH-175TH ST-GRAND CONCOU   "
"R254","GRAND AVE-QUEENS BOULEVARD    "
"R255","VAN WYCK BLVD-MAIN STREET     "
"R256","NASSAU AVE-MANHATTAN AVE      "
"R257","EAST BROADWAY-MADISON ST      "
"R258","4TH AVENUE-9TH STREET         "
"R259","ROOSEVELT ISLAND              "
"R260","181ST STREET-ST NICHOLAS AV   "
"R261","40TH STREET-LOWERY STREET     "
"R262","BEVERLEY ROAD -EAST 15TH ST   "
"R263","AVENUE H-EAST 16TH STREET     "
"R264","OCEAN PKWAY-BRIGHTON BCH AV   "
"R265","MONTROSE AVENUE               "
"R266","HALSEY STREET-WYCKOFF AVE     "
"R267","46TH STREET-BROADWAY          "
"R268","METROPOLITAN AVE-LORIMER ST   "
"R269","BEDFORD AVENUE-NOSTRAND AVE   "
"R270","SMITH STREET-9TH STREET       "
"R271","AVENUE X-MCDONALD AVENUE      "
"R272","28TH STREET-7TH AVENUE        "
"R273","145TH STREET-BROADWAY         "
"R274","191ST STREET-ST NICHOLAS AV   "
"R275","183RD STREET-JEROME AVENUE    "
"R276","JACKSON AVENUE-VERNON BLVD    "
"R277","PRESIDENT ST-NOSTRAND AVE     "
"R278","25TH STREET-4TH AVENUE        "
"R279","JEFFERSON STREET-WYCKOFF AV   "
